"STATION","DATE","TMAX","TMIN"
"USW00013904","2022-03-12","56","22"
"USW00013904","2022-03-13","67","19"
"USW00013904","2022-03-14","82","40"
"USW00013904","2022-03-15","77","41"
"USW00013904","2022-03-16","81","39"
"USW00013904","2022-03-17","71","39"
"USW00013904","2022-03-18","73","42"
"USW00013904","2022-03-19","78","35"
"USW00013904","2022-03-20","78","33"
"USW00013904","2022-03-21","80","58"
"USW00013904","2022-03-22","64","46"
"USW00013904","2022-03-23","69","39"
"USW00013904","2022-03-24","75","37"
"USW00013904","2022-03-25","84","35"
"USW00013904","2022-03-26","88","39"
"USW00013904","2022-03-27","85","47"
"USW00013904","2022-03-28","85","54"
"USW00013904","2022-03-29","79","67"
"USW00013904","2022-03-30","80","55"
"USW00013904","2022-03-31","74","41"
"USW00013904","2022-04-01","81","42"
"USW00013904","2022-04-02","85","51"
"USW00013904","2022-04-03","85","47"
"USW00013904","2022-04-04","81","64"
"USW00013904","2022-04-05","93","66"
"USW00013904","2022-04-06","78","52"
"USW00013904","2022-04-07","76","42"
"USW00013904","2022-04-08","78","36"
"USW00013904","2022-04-09","86","35"
