"STATION","DATE","TMAX","TMIN"
"USW00014819","2022-03-12","24","13"
"USW00014819","2022-03-13","53","22"
"USW00014819","2022-03-14","65","40"
"USW00014819","2022-03-15","55","35"
"USW00014819","2022-03-16","72","38"
"USW00014819","2022-03-17","74","49"
"USW00014819","2022-03-18","50","42"
"USW00014819","2022-03-19","44","39"
"USW00014819","2022-03-20","65","34"
"USW00014819","2022-03-21","77","44"
"USW00014819","2022-03-22","62","50"
"USW00014819","2022-03-23","60","46"
"USW00014819","2022-03-24","46","41"
"USW00014819","2022-03-25","50","36"
"USW00014819","2022-03-26","36","29"
"USW00014819","2022-03-27","38","25"
"USW00014819","2022-03-28","35","25"
"USW00014819","2022-03-29","45","31"
"USW00014819","2022-03-30","64","46"
"USW00014819","2022-03-31","50","34"
"USW00014819","2022-04-01","47","33"
"USW00014819","2022-04-02","45","35"
"USW00014819","2022-04-03","49","33"
"USW00014819","2022-04-04","55","43"
"USW00014819","2022-04-05","55","39"
"USW00014819","2022-04-06","59","45"
"USW00014819","2022-04-07","46","41"
"USW00014819","2022-04-08","43","34"
"USW00014819","2022-04-09","50","34"
