"STATION","DATE","TMAX","TMIN"
"USW00094789","2022-03-12","46","24"
"USW00094789","2022-03-13","35","22"
"USW00094789","2022-03-14","55","33"
"USW00094789","2022-03-15","58","38"
"USW00094789","2022-03-16","62","41"
"USW00094789","2022-03-17","55","45"
"USW00094789","2022-03-18","63","46"
"USW00094789","2022-03-19","60","46"
"USW00094789","2022-03-20","62","46"
"USW00094789","2022-03-21","63","45"
"USW00094789","2022-03-22","60","46"
"USW00094789","2022-03-23","47","39"
"USW00094789","2022-03-24","47","41"
"USW00094789","2022-03-25","57","44"
"USW00094789","2022-03-26","54","42"
"USW00094789","2022-03-27","47","29"
"USW00094789","2022-03-28","34","23"
"USW00094789","2022-03-29","38","24"
"USW00094789","2022-03-30","44","27"
"USW00094789","2022-03-31","57","44"
"USW00094789","2022-04-01","59","43"
"USW00094789","2022-04-02","52","39"
"USW00094789","2022-04-03","46","38"
"USW00094789","2022-04-04","55","39"
"USW00094789","2022-04-05","53","38"
"USW00094789","2022-04-06","54","47"
"USW00094789","2022-04-07","52","45"
"USW00094789","2022-04-08","63","48"
"USW00094789","2022-04-09","57","47"
