"STATION","DATE","TMAX","TMIN"
"USW00023272","2022-03-12","56","41"
"USW00023272","2022-03-13","60","50"
"USW00023272","2022-03-14","67","47"
"USW00023272","2022-03-15","60","50"
"USW00023272","2022-03-16","60","48"
"USW00023272","2022-03-17","56","49"
"USW00023272","2022-03-18","64","48"
"USW00023272","2022-03-19","56","50"
"USW00023272","2022-03-20","60","47"
"USW00023272","2022-03-21","64","48"
"USW00023272","2022-03-22","79","51"
"USW00023272","2022-03-23","57","49"
"USW00023272","2022-03-24","55","48"
"USW00023272","2022-03-25","57","46"
"USW00023272","2022-03-26","58","49"
"USW00023272","2022-03-27","61","50"
"USW00023272","2022-03-28","59","51"
"USW00023272","2022-03-29","58","50"
"USW00023272","2022-03-30","58","49"
"USW00023272","2022-03-31","63","48"
"USW00023272","2022-04-01","64","48"
"USW00023272","2022-04-02","70","49"
"USW00023272","2022-04-03","63","49"
"USW00023272","2022-04-04","60","49"
"USW00023272","2022-04-05","64","49"
"USW00023272","2022-04-06","79","51"
"USW00023272","2022-04-07","86","58"
"USW00023272","2022-04-08","72","51"
"USW00023272","2022-04-09","63","49"
